(0, 2) x (1, 1) => 0
(1, 1) x (1, 0) => 0
(2, 1) x (0, 0) => 0
(2, 1) x (3, 2) => 1
(3, 2) x (2, 1) => 0
(2, 1) x (2, 2) => 1
(2, 2) x (2, 1) => 0
(2, 1) x (3, 0) => 1
(3, 0) x (2, 1) => 0
(2, 1) x (2, 0) => 0
(3, 1) x (0, 0) => 0
(3, 1) x (3, 2) => 1
(3, 2) x (3, 1) => 0
(3, 1) x (2, 2) => 1
(2, 2) x (3, 1) => 0
(3, 1) x (3, 0) => 0
(0, 3) x (0, 0) => 0
(0, 3) x (3, 2) => 1
(3, 2) x (0, 3) => 0
(0, 3) x (2, 2) => 1
(2, 2) x (0, 3) => 0
(0, 3) x (3, 1) => 1
(3, 1) x (0, 3) => 0
(0, 3) x (3, 0) => 1
(3, 0) x (0, 3) => 0
(0, 3) x (2, 1) => 1
(2, 1) x (0, 3) => 0
(0, 3) x (2, 0) => 1
(2, 0) x (0, 3) => 0
(0, 3) x (1, 2) => 1
(1, 2) x (0, 3) => 0
(0, 3) x (0, 2) => 0
(1, 3) x (0, 0) => 0
(1, 3) x (3, 2) => 1
(3, 2) x (1, 3) => 0
(1, 3) x (2, 2) => 1
(2, 2) x (1, 3) => 0
(1, 3) x (3, 1) => 1
(3, 1) x (1, 3) => 0
(1, 3) x (3, 0) => 1
(3, 0) x (1, 3) => 0
(1, 3) x (2, 1) => 1
(2, 1) x (1, 3) => 0
(1, 3) x (2, 0) => 1
(2, 0) x (1, 3) => 0
(1, 3) x (1, 2) => 0
(2, 3) x (0, 0) => 0
(2, 3) x (3, 2) => 1
(3, 2) x (2, 3) => 0
(2, 3) x (2, 2) => 0
(3, 3) x (0, 0) => 0
(3, 3) x (3, 2) => 0
(5, 1) x (4, 0) => 0
(6, 2) x (5, 1) => 0
(0, 5) x (3, 4) => 1
(3, 4) x (0, 5) => 0
(5, 5) x (3, 4) => 0
(2, 7) x (5, 6) => 1
(5, 6) x (2, 7) => 0
(7, 7) x (5, 6) => 0
(3, 4) x (5, 1) => 1
(5, 1) x (3, 4) => 0
(5, 6) x (5, 1) => 0
(7, 4) x (5, 1) => 0
(5, 1) x (7, 4) => 1
(1, 5) x (5, 1) => 1
(5, 1) x (1, 5) => 0
(5, 1) x (1, 5) => 0
(1, 5) x (5, 1) => 1
(7, 4) x (5, 1) => 0
(5, 1) x (7, 4) => 1
(5, 1) x (2, 5) => 0
(2, 5) x (5, 1) => 1
(6, 4) x (5, 1) => 0
(5, 1) x (6, 4) => 1
(5, 1) x (3, 5) => 0
(3, 5) x (5, 1) => 1
(5, 4) x (5, 1) => 0
(5, 1) x (5, 4) => 1
(5, 1) x (4, 5) => 1
(4, 5) x (5, 1) => 0
(5, 1) x (5, 5) => 1
(5, 5) x (5, 1) => 0
(5, 1) x (6, 5) => 1
(6, 5) x (5, 1) => 0
(5, 1) x (7, 5) => 1
(7, 5) x (5, 1) => 0
(5, 1) x (0, 6) => 0
(0, 6) x (5, 1) => 1
(4, 4) x (5, 1) => 0
(5, 1) x (4, 4) => 1
(5, 1) x (1, 6) => 0
(1, 6) x (5, 1) => 1
(0, 5) x (5, 1) => 1
(5, 1) x (0, 5) => 0
(2, 4) x (5, 1) => 1
(5, 1) x (2, 4) => 0
(1, 4) x (5, 1) => 1
(5, 1) x (1, 4) => 0
(7, 3) x (5, 1) => 0
(5, 1) x (7, 3) => 1
(5, 1) x (2, 6) => 0
(2, 6) x (5, 1) => 1
(6, 3) x (5, 1) => 0
(5, 1) x (6, 3) => 1
(5, 1) x (3, 6) => 0
(3, 6) x (5, 1) => 1
(5, 3) x (5, 1) => 0
(5, 1) x (5, 3) => 1
(5, 1) x (4, 6) => 1
(4, 6) x (5, 1) => 0
(5, 1) x (2, 7) => 0
(2, 7) x (5, 1) => 1
(4, 3) x (5, 1) => 0
(5, 1) x (4, 3) => 1
(5, 1) x (6, 6) => 1
(6, 6) x (5, 1) => 0
(5, 1) x (7, 6) => 1
(7, 6) x (5, 1) => 0
(5, 1) x (0, 7) => 0
(0, 7) x (5, 1) => 1
(7, 2) x (5, 1) => 0
(5, 1) x (7, 2) => 1
(5, 1) x (1, 7) => 0
(1, 7) x (5, 1) => 1
(6, 2) x (5, 1) => 0
(5, 1) x (6, 2) => 1
(5, 1) x (5, 6) => 1
(5, 6) x (5, 1) => 0
(5, 1) x (3, 7) => 0
(3, 7) x (5, 1) => 1
(5, 2) x (5, 1) => 0
(5, 1) x (5, 2) => 1
(5, 1) x (4, 7) => 1
(4, 7) x (5, 1) => 0
(5, 1) x (5, 7) => 1
(5, 7) x (5, 1) => 0
(5, 1) x (6, 7) => 1
(6, 7) x (5, 1) => 0
(5, 1) x (7, 7) => 1
(7, 7) x (5, 1) => 0
(4, 2) x (5, 1) => 0
(5, 1) x (4, 2) => 1
(7, 1) x (5, 1) => 0
(5, 1) x (7, 1) => 1
(6, 1) x (5, 1) => 0
(5, 1) x (6, 1) => 1
(3, 4) x (5, 1) => 1
(5, 1) x (3, 4) => 0
(4, 1) x (5, 1) => 1
(5, 1) x (4, 1) => 0
(7, 0) x (5, 1) => 0
(5, 1) x (7, 0) => 1
(6, 0) x (5, 1) => 0
(5, 1) x (6, 0) => 1
(5, 0) x (5, 1) => 1
(5, 1) x (5, 0) => 0
(4, 0) x (5, 1) => 1
(5, 1) x (4, 0) => 0
(5, 0) x (4, 0) => 0
(5, 0) x (4, 0) => 0
(0, 5) x (4, 0) => 1
(4, 0) x (0, 5) => 0
(0, 6) x (0, 5) => 0
(0, 6) x (5, 0) => 1
(5, 0) x (0, 6) => 0
(0, 6) x (4, 0) => 1
(4, 0) x (0, 6) => 0
(0, 6) x (0, 5) => 0
(4, 1) x (0, 5) => 0
(4, 1) x (5, 0) => 1
(5, 0) x (4, 1) => 0
(4, 1) x (4, 0) => 0
(3, 4) x (0, 5) => 0
(3, 4) x (5, 0) => 1
(5, 0) x (3, 4) => 0
(3, 4) x (4, 1) => 1
(4, 1) x (3, 4) => 0
(3, 4) x (4, 0) => 1
(4, 0) x (3, 4) => 0
(3, 4) x (0, 6) => 0
(3, 5) x (0, 5) => 0
(3, 5) x (5, 0) => 1
(5, 0) x (3, 5) => 0
(3, 5) x (4, 1) => 1
(4, 1) x (3, 5) => 0
(3, 5) x (4, 0) => 1
(4, 0) x (3, 5) => 0
(3, 5) x (3, 4) => 0
(2, 5) x (0, 5) => 0
(2, 5) x (5, 0) => 1
(5, 0) x (2, 5) => 0
(2, 5) x (4, 1) => 1
(4, 1) x (2, 5) => 0
(2, 5) x (4, 0) => 1
(4, 0) x (2, 5) => 0
(2, 5) x (3, 5) => 1
(3, 5) x (2, 5) => 0
(2, 5) x (3, 4) => 1
(3, 4) x (2, 5) => 0
(2, 5) x (0, 6) => 0
(1, 5) x (0, 5) => 0
(1, 5) x (5, 0) => 1
(5, 0) x (1, 5) => 0
(1, 5) x (4, 1) => 1
(4, 1) x (1, 5) => 0
(1, 5) x (4, 0) => 1
(4, 0) x (1, 5) => 0
(1, 5) x (3, 5) => 1
(3, 5) x (1, 5) => 0
(1, 5) x (3, 4) => 1
(3, 4) x (1, 5) => 0
(1, 5) x (2, 5) => 1
(2, 5) x (1, 5) => 0
